Ship_ID,Vessel Name,Service,Phase,ETA,ATA,Berth,Side to,ETD,Next port of call,Ref,Recording,SN_No.,Delay
HMM COPENHAGEN - C17/D17,HMM COPENHAGEN,FE2,ARRIVED,2021-05-27 19:30:00,2021-05-31 23:10:00,SCT5,Starboard,2021-05-30 07:30:00,"Hamburg, Germany",C17/D17,2021-05-15 00:00:00,1867,5980.0
HMM COPENHAGEN - C22/D22,HMM COPENHAGEN,FE2,ARRIVED,2020-07-09 19:00:00,2020-07-08 22:20:00,SCT5,Starboard,2020-07-11 19:00:00,"Hamburg, Germany",C22/D22,2020-07-04 00:00:00,10,-1240.0
HMM COPENHAGEN - C36/D36,HMM COPENHAGEN,FE2,ARRIVED,2020-10-22 19:31:00,2020-10-23 02:35:00,SCT5,Starboard,2020-10-24 19:30:00,"Hamburg, Germany",C36/D36,2020-10-10 00:00:00,1509,424.0
HMM DAON - E30/F30,HMM DAON,FE3,ARRIVED,2021-08-25 07:00:00,2021-09-05 23:50:00,SCT5,Starboard,2021-08-28 07:30:00,"Hong Kong, Hong Kong",E30/F30,2021-08-10 00:00:00,1336,16850.0
HMM DUBLIN - C05/D05,HMM DUBLIN,FE2,ARRIVED,2021-02-09 19:00:00,2021-02-27 15:00:00,SCT5,Starboard,2021-02-11 19:00:00,"Hamburg, Germany",C05/D05,2021-01-25 00:00:00,3349,25680.0
HMM DUBLIN - C24/D24,HMM DUBLIN,FE2,ARRIVED,2020-07-23 19:00:00,2020-07-22 14:47:00,SCT5,Starboard,2020-07-25 19:00:00,"Hamburg, Germany",C24/D24,2020-07-15 00:00:00,1953,-1693.0
HMM DUBLIN - C38/D38,HMM DUBLIN,FE2,ARRIVED,2020-11-05 19:30:00,2020-11-07 12:39:00,SCT5,Starboard,2020-11-07 19:30:00,"Hamburg, Germany",C38/D38,2020-10-20 00:00:00,3155,2469.0
HMM GAON - C28/D28,HMM GAON,FE2,ARRIVED,2021-08-28 19:30:00,2021-08-28 06:25:00,SCT5,Starboard,2021-08-30 19:30:00,"Hamburg, Germany",C28/D28,2021-08-15 00:00:00,2139,-785.0
HMM GAON - E11/F11,HMM GAON,FE4,ARRIVED,2021-05-20 23:59:00,2021-06-10 02:00:00,SCT5,Starboard,2021-05-23 19:30:00,"Hamburg, Germany",E11/F11,2021-05-05 00:00:00,285,28921.0
HMM HANUL - E31/F31,HMM HANUL,FE3,ARRIVED,2021-09-15 11:59:00,2021-09-20 15:05:00,SCT5,Starboard,2021-09-20 19:30:00,"Hong Kong, Hong Kong",E31/F31,2021-08-30 00:00:00,4669,7386.0
