Ship_ID,Vessel Name,Service,Phase,ETA,ATA,Berth,Side to,ETD,Next port of call,Ref,Recording,SN_No.,Delay
APL VANDA - M32/M32,APL VANDA,FAL3,ARRIVED,2021-08-12 23:59:00,2021-08-13 18:35:00,SCT2,Starboard,2021-08-16 07:30:00,"Rotterdam, Netherlands",M32/M32,2021-07-30 00:00:00,4550,1116.0
APL VANDA - M35/M35,APL VANDA,NEU4I,ARRIVED,2020-09-14 19:30:00,2020-09-14 23:59:00,SCT5,Starboard,2020-09-16 19:30:00,"Dunkerque, France",M35/M35,2020-08-30 00:00:00,4577,269.0
APL VANDA - N38/N38,APL VANDA,NEU4E,ARRIVED,2020-09-23 23:59:00,2020-09-25 03:30:00,SCT2,Starboard,2020-09-25 07:30:00,"Le Havre, France",N38/N38,2020-09-10 00:00:00,1395,1651.0
ARGOLIKOS - A03/A03,ARGOLIKOS,LEVANT,ARRIVED,2021-01-22 19:30:00,2021-01-23 06:05:00,SCT3,Starboard,2021-01-23 07:30:00,"Rotterdam, Netherlands",A03/A03,2021-01-10 00:00:00,892,635.0
ARGOLIKOS - A08/A08,ARGOLIKOS,LEVANT,ARRIVED,2021-02-26 19:30:00,2021-02-28 17:45:00,SCT3,Starboard,2021-02-27 07:30:00,"Rotterdam, Netherlands",A08/A08,2021-02-15 00:00:00,1685,2775.0
ATHENS GLORY - R39/S39,ATHENS GLORY,IPAK,ARRIVED,2021-09-29 19:30:00,2021-09-30 23:40:00,SCT2,Starboard,2021-09-30 07:30:00,"Rotterdam, Netherlands",R39/S39,2021-09-15 00:00:00,2240,1690.0
AURORA - 01B/01B,AURORA,ISX3,ARRIVED,2021-01-05 07:00:00,2021-01-10 17:25:00,SCT1,Starboard,2021-01-06 07:00:00,"Belfast, United Kingdom",01B/01B,2020-12-20 00:00:00,3264,7825.0
AURORA - 02B/02B,AURORA,ISX3B,ARRIVED,2021-01-17 07:30:00,2021-01-19 09:35:00,SCT1,Starboard,2021-01-18 07:30:00,"Liverpool, United Kingdom",02B/02B,2021-01-05 00:00:00,62,3005.0
AURORA - 03B/03B,AURORA,ISX3B,ARRIVED,2021-01-24 07:30:00,2021-01-29 22:27:00,SCT1,Starboard,2021-01-25 07:30:00,"Liverpool, United Kingdom",03B/03B,2021-01-10 00:00:00,888,8097.0
AURORA - 04B/04B,AURORA,ISX3,ARRIVED,2021-02-04 23:59:00,2021-02-08 07:00:00,SCT1,Starboard,2021-02-05 23:59:00,"Belfast, United Kingdom",04B/04B,2021-01-25 00:00:00,3361,4741.0
AURORA - 05B/05B,AURORA,ISX3B,ARRIVED,2021-02-10 07:30:00,2021-02-22 08:35:00,SCT1,Starboard,2021-02-11 07:30:00,"Liverpool, United Kingdom",05B/05B,2021-01-30 00:00:00,4235,17345.0
AURORA - 06B/06B,AURORA,ISX3B,ARRIVED,2021-02-17 07:30:00,2021-03-06 06:00:00,SCT1,Starboard,2021-02-18 07:30:00,"Liverpool, United Kingdom",06B/06B,2021-02-05 00:00:00,120,24390.0
AURORA - 07B/07B,AURORA,ISX3B,ARRIVED,2021-02-28 07:30:00,2021-03-17 04:00:00,SCT1,Starboard,2021-03-01 07:30:00,"Liverpool, United Kingdom",07B/07B,2021-02-15 00:00:00,1707,24270.0
AURORA - 08B/08B,AURORA,ISX3B,ARRIVED,2021-03-15 11:59:00,2021-03-26 05:05:00,SCT1,Starboard,2021-03-16 19:30:00,"Liverpool, United Kingdom",08B/08B,2021-02-28 00:00:00,4174,15426.0
AURORA - 09B/09B,AURORA,ISX3B,ARRIVED,2021-03-28 07:30:00,2021-04-04 05:31:00,SCT1,Starboard,2021-03-29 07:30:00,"Liverpool, United Kingdom",09B/09B,2021-03-15 00:00:00,1737,9961.0
AURORA - 10B/10B,AURORA,ISX3B,ARRIVED,2021-04-08 07:30:00,2021-04-17 22:22:00,SCT1,Starboard,2021-04-09 07:30:00,"Liverpool, United Kingdom",10B/10B,2021-03-25 00:00:00,3442,13852.0
AURORA - 11B/11B,AURORA,ISX3,ARRIVED,2021-04-26 19:30:00,2021-05-04 15:05:00,SCT1,Starboard,2021-04-27 19:30:00,"Rotterdam, Netherlands",11B/11B,2021-04-15 00:00:00,1797,11255.0
AURORA - 12B/12B,AURORA,ISX3,ARRIVED,2021-05-03 11:59:00,2021-05-08 21:00:00,SCT1,Starboard,2021-05-04 11:59:00,"Rotterdam, Netherlands",12B/12B,2021-04-20 00:00:00,2666,7741.0
AURORA - 28A/28A,AURORA,ISX3,ARRIVED,2021-06-07 19:30:00,2021-06-12 15:51:00,SCT1,Starboard,2021-06-08 19:30:00,"Rotterdam, Netherlands",28A/28A,2021-05-30 00:00:00,4365,6981.0
AURORA - 29B/29B,AURORA,ISX3B,ARRIVED,2020-09-25 19:30:00,2020-09-26 23:30:00,SCT4,Starboard,2020-09-26 19:30:00,"Liverpool, United Kingdom",29B/29B,2020-09-20 00:00:00,3054,1680.0
AURORA - 30B/30B,AURORA,ISX3B,ARRIVED,2020-09-30 07:31:00,2020-10-07 22:34:00,SCT4,Starboard,2020-09-30 19:30:00,"Liverpool, United Kingdom",30B/30B,2020-09-20 00:00:00,3044,10983.0
AURORA - 31B/31B,AURORA,ISX3B,ARRIVED,2020-10-07 07:30:00,2020-10-17 23:01:00,SCT4,Starboard,2020-10-07 19:30:00,"Liverpool, United Kingdom",31B/31B,2020-09-25 00:00:00,3914,15331.0
AURORA - 32A/32A,AURORA,ISX3,ARRIVED,2021-06-21 19:30:00,2021-06-23 10:50:00,SCT1,Starboard,2021-06-22 19:30:00,"Rotterdam, Netherlands",32A/32A,2021-06-05 00:00:00,372,2360.0
AURORA - 32B/32B,AURORA,ISX3B,ARRIVED,2020-10-17 07:30:00,2020-11-01 23:57:00,SCT4,Starboard,2020-10-17 19:30:00,"Liverpool, United Kingdom",32B/32B,2020-10-05 00:00:00,670,22587.0
AURORA - 33B/33B,AURORA,ISX3B,ARRIVED,2020-10-29 19:30:00,2020-11-14 23:20:00,SCT4,Starboard,2020-10-30 19:30:00,"Liverpool, United Kingdom",33B/33B,2020-10-15 00:00:00,2281,23270.0
AURORA - 34B/34B,AURORA,ISX3B,ARRIVED,2020-11-05 11:59:00,2020-11-29 11:45:00,SCT4,Starboard,2020-11-06 11:59:00,"Liverpool, United Kingdom",34B/34B,2020-10-20 00:00:00,3164,34546.0
AURORA - 35B/35B,AURORA,ISX3B,ARRIVED,2020-12-01 11:59:00,2020-12-08 12:40:00,SCT1,Starboard,2020-12-02 07:30:00,"Liverpool, United Kingdom",35B/35B,2020-11-15 00:00:00,2411,10121.0
AURORA - 36B/36B,AURORA,ISX3B,ARRIVED,2020-12-08 19:30:00,2020-12-20 22:02:00,SCT1,Starboard,2020-12-09 19:30:00,"Liverpool, United Kingdom",36B/36B,2020-11-15 00:00:00,2357,17432.0
AURORA - 37B/37B,AURORA,ISX3B,ARRIVED,2020-12-27 07:00:00,2021-01-02 01:00:00,SCT1,Starboard,2020-12-28 07:00:00,"Liverpool, United Kingdom",37B/37B,2020-12-15 00:00:00,2434,8280.0
BARZAN - C13/D13,BARZAN,FE2,ARRIVED,2021-04-21 23:59:00,2021-04-27 09:00:00,SCT5,Starboard,2021-04-24 23:59:00,"Hamburg, Germany",C13/D13,2021-04-10 00:00:00,1036,7741.0
BARZAN - C25/D25,BARZAN,FE2,ARRIVED,2021-08-05 19:30:00,2021-08-14 18:50:00,SCT5,Starboard,2021-08-07 19:30:00,"Hamburg, Germany",C25/D25,2021-07-20 00:00:00,2923,12920.0
BARZAN - C31/D31,BARZAN,FE2,ARRIVED,2020-09-10 19:00:00,2020-09-09 02:44:00,SCT5,Starboard,2020-09-12 19:00:00,"Hamburg, Germany",C31/D31,2020-08-25 00:00:00,3818,-2416.0
BARZAN - C44/D44,BARZAN,FE2,ARRIVED,2020-12-17 19:30:00,2021-01-03 05:45:00,SCT5,Starboard,2020-12-19 19:30:00,"Hamburg, Germany",C44/D44,2020-11-15 00:00:00,2380,23655.0
BG DIAMOND - 31L/31L,BG DIAMOND,BGLP2,ARRIVED,2020-08-05 07:30:00,2020-08-05 16:30:00,SCT1,Portside,2020-08-05 19:30:00,"Rotterdam, Netherlands",31L/31L,2020-07-25 00:00:00,3682,540.0
BG DIAMOND - 32N/32N,BG DIAMOND,BGLP3N,ARRIVED,2020-08-10 19:00:00,2020-08-10 22:17:00,SCT1,Portside,2020-08-11 07:00:00,"Cork, Ireland",32N/32N,2020-08-05 00:00:00,433,197.0
BG DIAMOND - 35N/35N,BG DIAMOND,BGLP3N,ARRIVED,2020-09-02 07:00:00,2020-09-04 21:15:00,SCT1,Portside,2020-09-03 07:00:00,"Cork, Ireland",35N/35N,2020-08-25 00:00:00,3834,3735.0
BG DIAMOND - 36N/36N,BG DIAMOND,BGLP3N,ARRIVED,2020-09-07 19:00:00,2020-09-11 08:19:00,SCT1,Portside,2020-09-08 19:00:00,"Cork, Ireland",36N/36N,2020-08-30 00:00:00,4623,5119.0
BG EMERALD - 01L/01L,BG EMERALD,BGLP2,ARRIVED,2021-01-05 19:00:00,2021-01-05 18:00:00,SCT1,Portside,2021-01-06 19:00:00,"Liverpool, United Kingdom",01L/01L,2020-12-30 00:00:00,4952,-60.0
BG EMERALD - 27N/27N,BG EMERALD,BGLP3N,ARRIVED,2020-07-07 07:00:00,2020-07-07 12:07:00,SCT1,Portside,2020-07-08 07:00:00,"Cork, Ireland",27N/27N,2020-07-04 00:00:00,3,307.0
BG EMERALD - 30L/30L,BG EMERALD,BGLP2,ARRIVED,2020-07-29 07:00:00,2020-07-29 16:18:00,SCT1,Starboard,2020-07-29 19:00:00,"Rotterdam, Netherlands",30L/30L,2020-07-20 00:00:00,2856,558.0
BG EMERALD - 31N/31N,BG EMERALD,BGLP3N,ARRIVED,2020-08-03 19:30:00,2020-08-04 01:45:00,SCT1,Portside,2020-08-04 19:30:00,"Cork, Ireland",31N/31N,2020-07-25 00:00:00,3676,375.0
BG EMERALD - 34L/34L,BG EMERALD,BGLP2,ARRIVED,2020-08-26 07:00:00,2020-08-28 13:30:00,SCT1,Portside,2020-08-27 07:00:00,"Rotterdam, Netherlands",34L/34L,2020-08-15 00:00:00,2060,3270.0
BG IRELAND - 44N/44N,BG IRELAND,BGLP3N,ARRIVED,2020-12-07 10:00:00,2020-12-07 19:40:00,SCT1,Portside,2020-12-08 04:00:00,"Rotterdam, Netherlands",44N/44N,2020-12-05 00:00:00,854,580.0
BG JADE - 26L/26L,BG JADE,BGLP2,ARRIVED,2020-07-08 07:00:00,2020-07-09 02:06:00,SCT1,Portside,2020-07-09 07:00:00,"Rotterdam, Netherlands",26L/26L,2020-07-04 00:00:00,7,1146.0
BG JADE - 28N/28N,BG JADE,BGLP3N,ARRIVED,2020-07-14 07:30:00,2020-07-26 09:40:00,SCT1,Portside,2020-07-14 19:30:00,"Cork, Ireland",28N/28N,2020-07-04 00:00:00,17,17410.0
BG JADE - 33L/33L,BG JADE,BGLP2,ARRIVED,2020-08-19 07:00:00,2020-08-21 13:24:00,SCT1,Portside,2020-08-20 07:00:00,"Rotterdam, Netherlands",33L/33L,2020-08-10 00:00:00,1294,3264.0
BG JADE - 34N/34N,BG JADE,BGLP3N,ARRIVED,2020-08-24 19:00:00,2020-08-27 05:00:00,SCT1,Portside,2020-08-25 07:00:00,"Cork, Ireland",34N/34N,2020-08-15 00:00:00,2066,3480.0
BG ONYX - X17/X17,BG ONYX,ADHOC,ARRIVED,2021-07-04 19:30:00,2021-07-04 21:54:00,SCT4,Starboard,2021-07-05 19:30:00,"Rotterdam, Netherlands",X17/X17,2021-06-30 00:00:00,4446,144.0
BG SAPPHIRE - 27L/27L,BG SAPPHIRE,BGLP2,ARRIVED,2020-07-15 07:00:00,2020-07-15 16:15:00,SCT1,Portside,2020-07-16 07:00:00,"Rotterdam, Netherlands",27L/27L,2020-07-04 00:00:00,20,555.0
BG SAPPHIRE - 29N/29N,BG SAPPHIRE,BGLP3N,ARRIVED,2020-07-20 19:00:00,2020-07-20 21:20:00,SCT1,Portside,2020-07-21 19:00:00,"Cork, Ireland",29N/29N,2020-07-10 00:00:00,1201,140.0
BG SAPPHIRE - 32L/32L,BG SAPPHIRE,BGLP2,ARRIVED,2020-08-12 07:00:00,2020-08-12 21:45:00,SCT1,Portside,2020-08-13 07:00:00,"Rotterdam, Netherlands",32L/32L,2020-08-05 00:00:00,440,885.0
BG SAPPHIRE - 33N/33N,BG SAPPHIRE,BGLP3N,ARRIVED,2020-08-17 19:00:00,2020-08-18 11:54:00,SCT1,Portside,2020-08-18 07:00:00,"Cork, Ireland",33N/33N,2020-08-10 00:00:00,1274,1014.0
BJORG - 41A/41A,BJORG,ISX3,ARRIVED,2021-07-21 19:30:00,2021-07-24 21:15:00,SCT1,Portside,2021-07-22 19:30:00,"Rotterdam, Netherlands",41A/41A,2021-07-10 00:00:00,1256,4425.0
BJORG - 44A/44A,BJORG,ISX3,ARRIVED,2021-07-30 07:30:00,2021-07-31 15:00:00,SCT4,Starboard,2021-07-31 07:30:00,"Rotterdam, Netherlands",44A/44A,2021-07-15 00:00:00,2040,1890.0
BJORG - 50A/50A,BJORG,ISX3,ARRIVED,2021-08-13 07:30:00,2021-08-15 21:20:00,SCT4,Starboard,2021-08-14 07:30:00,"Rotterdam, Netherlands",50A/50A,2021-07-30 00:00:00,4554,3710.0
BJORG - 53A/53A,BJORG,ISX3,ARRIVED,2021-08-19 07:30:00,2021-08-21 12:00:00,SCT4,Starboard,2021-08-20 19:30:00,"Rotterdam, Netherlands",53A/53A,2021-08-05 00:00:00,502,3150.0
BJORG - 57A/57A,BJORG,ISX3,ARRIVED,2021-08-29 19:30:00,2021-09-04 11:00:00,SCT4,Starboard,2021-08-30 19:30:00,"Rotterdam, Netherlands",57A/57A,2021-08-15 00:00:00,2135,8130.0
BJORG - 62A/62A,BJORG,ISX3,ARRIVED,2021-09-09 07:30:00,2021-09-08 22:10:00,SCT4,Starboard,2021-09-10 07:30:00,"Rotterdam, Netherlands",62A/62A,2021-08-25 00:00:00,3857,-560.0
BJORG - 63A/63A,BJORG,ISX3,ARRIVED,2021-09-19 19:30:00,2021-09-24 09:39:00,SCT4,Starboard,2021-09-20 19:30:00,"Rotterdam, Netherlands",63A/63A,2021-09-05 00:00:00,638,6609.0
BRUSSELS EXPRESS - E12/F12,BRUSSELS EXPRESS,FE4,ARRIVED,2021-06-01 22:00:00,2021-05-31 15:15:00,SCT5,Starboard,2021-06-02 19:00:00,"Hamburg, Germany",E12/F12,2021-05-25 00:00:00,3568,-1845.0
BRUSSELS EXPRESS - E33/F33,BRUSSELS EXPRESS,FE3,ARRIVED,2021-09-05 07:30:00,2021-10-01 23:46:00,SCT5,Starboard,2021-09-06 19:30:00,"Hong Kong, Hong Kong",E33/F33,2021-08-20 00:00:00,3005,38416.0
BURGUNDY - B04/B04,BURGUNDY,FEMEX,ARRIVED,2021-02-09 19:30:00,2021-02-09 13:25:00,SCT3,Starboard,2021-02-10 07:30:00,"Rotterdam, Netherlands",B04/B04,2021-02-05 00:00:00,134,-365.0
BURGUNDY - B08/B08,BURGUNDY,FEMEX,ARRIVED,2021-03-13 04:00:00,2021-03-15 18:55:00,SCT3,Starboard,2021-03-13 19:30:00,"Rotterdam, Netherlands",B08/B08,2021-02-28 00:00:00,4178,3775.0
BURGUNDY - B13/B13,BURGUNDY,FEMEX,ARRIVED,2021-04-11 07:30:00,2021-04-12 03:40:00,SCT3,Starboard,2021-04-11 23:59:00,"Rotterdam, Netherlands",B13/B13,2021-03-31 00:00:00,4998,1210.0
BURGUNDY - B17/B17,BURGUNDY,FEMEX,ARRIVED,2021-05-08 23:59:00,2021-05-10 07:36:00,SCT2,Starboard,2021-05-09 11:59:00,"Rotterdam, Netherlands",B17/B17,2021-04-25 00:00:00,3537,1897.0
BURGUNDY - B28/B28,BURGUNDY,FEMEX,ARRIVED,2021-07-31 23:59:00,2021-08-11 07:42:00,SCT2,Starboard,2021-08-01 19:30:00,"Rotterdam, Netherlands",B28/B28,2021-07-20 00:00:00,2905,14863.0
BURGUNDY - B32/B32,BURGUNDY,FEMEX,ARRIVED,2021-09-08 07:30:00,2021-09-10 16:50:00,SCT3,Starboard,2021-09-08 19:30:00,"Antwerpen, Belgium",B32/B32,2021-08-25 00:00:00,3855,3440.0
BURGUNDY - B96/B96,BURGUNDY,FEMEX,ARRIVED,2021-07-05 07:30:00,2021-07-13 18:18:00,SCT2,Starboard,2021-07-05 19:30:00,"Rotterdam, Netherlands",B96/B96,2021-06-20 00:00:00,2808,12168.0
CAPE CHRONOS - E23/F23,CAPE CHRONOS,FE4,ARRIVED,2020-10-03 19:30:00,2020-10-05 02:25:00,SCT2,Starboard,2020-10-04 19:30:00,"Hamburg, Germany",E23/F23,2020-09-20 00:00:00,3050,1855.0
CAPE CHRONOS - O26/O26,CAPE CHRONOS,AL2,ARRIVED,2021-06-28 07:30:00,2021-06-29 20:02:00,SCT3,Starboard,2021-06-28 19:30:00,"Rotterdam, Netherlands",O26/O26,2021-06-10 00:00:00,1157,2192.0
CAPE CHRONOS - O31/O31,CAPE CHRONOS,AL2,ARRIVED,2021-08-07 07:30:00,2021-08-07 08:25:00,SCT3,Starboard,2021-08-08 03:00:00,"Le Havre, France",O31/O31,2021-07-25 00:00:00,3746,55.0
CAPE CHRONOS - O36/O36,CAPE CHRONOS,AL2,ARRIVED,2021-09-11 07:30:00,2021-09-24 10:00:00,SCT1,Starboard,2021-09-12 03:00:00,"Le Havre, France",O36/O36,2021-08-30 00:00:00,4678,18870.0
CAPE PIONEER - O28/O28,CAPE PIONEER,AL2,ARRIVED,2021-07-17 07:30:00,2021-07-17 00:27:00,SCT3,Starboard,2021-07-17 19:30:00,"Rotterdam, Netherlands",O28/O28,2021-07-05 00:00:00,388,-423.0
CAPE PIONEER - O33/O33,CAPE PIONEER,AL2,ARRIVED,2021-08-21 07:30:00,2021-08-25 01:00:00,SCT3,Starboard,2021-08-22 03:00:00,"Le Havre, France",O33/O33,2021-08-10 00:00:00,1345,5370.0
CAROLINA STAR - B07/B07,CAROLINA STAR,FEMEX,ARRIVED,2021-03-03 11:59:00,2021-03-06 07:45:00,SCT3,Starboard,2021-03-04 07:30:00,"Rotterdam, Netherlands",B07/B07,2021-02-20 00:00:00,2580,4066.0
CAROLINA STAR - B12/B12,CAROLINA STAR,FEMEX,ARRIVED,2021-04-04 07:30:00,2021-04-04 19:15:00,SCT3,Starboard,2021-04-04 19:30:00,"Rotterdam, Netherlands",B12/B12,2021-03-20 00:00:00,2611,705.0
CAROLINA STAR - B16/B16,CAROLINA STAR,FEMEX,ARRIVED,2021-05-01 23:59:00,2021-05-01 19:00:00,SCT2,Starboard,2021-05-02 11:59:00,"Rotterdam, Netherlands",B16/B16,2021-04-20 00:00:00,2646,-299.0
CAROLINA STAR - B20/B20,CAROLINA STAR,FEMEX,ARRIVED,2021-06-01 07:30:00,2021-06-02 19:45:00,SCT2,Starboard,2021-06-01 19:30:00,"Rotterdam, Netherlands",B20/B20,2021-05-20 00:00:00,2728,2175.0
CERES - X34/X34,CERES,ADHOC,ARRIVED,2020-09-16 07:00:00,2020-09-16 09:15:00,SCT4,Starboard,2020-09-16 19:00:00,"OPTIONAL,",X34/X34,2020-09-15 00:00:00,2215,135.0
CHICAGO EXPRESS - X40/X40,CHICAGO EXPRESS,ADHOC,ARRIVED,2020-10-03 10:01:00,2020-10-02 01:45:00,SCT3,Starboard,2020-10-04 19:00:00,"OPTIONAL,",X40/X40,2020-09-30 00:00:00,4733,-1936.0
CITY OF HONGKONG - V24/W24,CITY OF HONGKONG,GEX2,ARRIVED,2021-06-29 07:30:00,2021-06-29 08:40:00,SCT2,Starboard,2021-06-29 19:30:00,"Antwerpen, Belgium",V24/W24,2021-06-15 00:00:00,1908,70.0
CMA CGM ALCAZAR - A02/A02,CMA CGM ALCAZAR,LEVANT,ARRIVED,2021-01-15 19:30:00,2021-01-16 01:43:00,SCT3,Starboard,2021-01-16 07:30:00,"Rotterdam, Netherlands",A02/A02,2021-01-10 00:00:00,906,373.0
CMA CGM ALCAZAR - A06/A06,CMA CGM ALCAZAR,LEVANT,ARRIVED,2021-02-19 19:30:00,2021-02-20 00:20:00,SCT3,Starboard,2021-02-20 07:30:00,"Rotterdam, Netherlands",A06/A06,2021-02-05 00:00:00,113,290.0
CMA CGM ALCAZAR - A12/A12,CMA CGM ALCAZAR,LEVANT,ARRIVED,2021-03-26 19:30:00,2021-03-30 19:27:00,SCT3,Starboard,2021-03-27 07:30:00,"Rotterdam, Netherlands",A12/A12,2021-03-15 00:00:00,1736,5757.0
CMA CGM ALCAZAR - A17/A17,CMA CGM ALCAZAR,LEVANT,ARRIVED,2021-05-07 19:30:00,2021-05-09 05:10:00,SCT3,Starboard,2021-05-08 07:30:00,"Rotterdam, Netherlands",A17/A17,2021-04-25 00:00:00,3538,2020.0
CMA CGM ALCAZAR - A22/A22,CMA CGM ALCAZAR,LEVANT,ARRIVED,2021-06-12 12:00:00,2021-06-20 22:24:00,SCT3,Starboard,2021-06-13 04:00:00,"Rotterdam, Netherlands",A22/A22,2021-05-30 00:00:00,4395,12144.0
CMA CGM ALCAZAR - A26/A26,CMA CGM ALCAZAR,LEVANT,ARRIVED,2021-07-15 14:30:00,2021-07-25 15:22:00,SCT2,Starboard,2021-07-16 07:30:00,"Rotterdam, Netherlands",A26/A26,2021-06-30 00:00:00,4460,14452.0
CMA CGM ALCAZAR - A30/A30,CMA CGM ALCAZAR,LEVANT,ARRIVED,2021-08-20 11:59:00,2021-08-22 22:43:00,SCT3,Starboard,2021-08-21 04:00:00,"Le Havre, France",A30/A30,2021-08-05 00:00:00,505,3524.0
CMA CGM ALCAZAR - A33/A33,CMA CGM ALCAZAR,LEVANT,ARRIVED,2021-09-25 07:30:00,2021-10-03 14:30:00,SCT3,Starboard,2021-09-25 19:30:00,"Le Havre, France",A33/A33,2021-09-10 00:00:00,1461,11940.0
CMA CGM ALEXANDER VON HUMBOLDT - M33/M33,CMA CGM ALEXANDER VON HUMBOLDT,NEU4I,ARRIVED,2020-08-29 19:00:00,2020-08-31 01:45:00,SCT5,Starboard,2020-08-31 19:00:00,"Dunkerque, France",M33/M33,2020-08-15 00:00:00,2107,1845.0
CMA CGM ALEXANDER VON HUMBOLDT - M45/M45,CMA CGM ALEXANDER VON HUMBOLDT,NEU4I,ARRIVED,2020-11-21 19:30:00,2020-11-23 22:30:00,SCT5,Starboard,2020-11-23 19:30:00,"Dunkerque, France",M45/M45,2020-11-10 00:00:00,1555,3060.0
CMA CGM ALEXANDER VON HUMBOLDT - N09/N09,CMA CGM ALEXANDER VON HUMBOLDT,NEU4E,ARRIVED,2021-02-21 07:30:00,2021-02-23 19:45:00,SCT5,Starboard,2021-02-22 19:30:00,"Le Havre, France",N09/N09,2021-02-10 00:00:00,968,3615.0
CMA CGM ALEXANDER VON HUMBOLDT - N36/N36,CMA CGM ALEXANDER VON HUMBOLDT,NEU4E,ARRIVED,2020-09-09 16:00:00,2020-09-10 00:04:00,SCT5,Starboard,2020-09-10 19:30:00,"Le Havre, France",N36/N36,2020-08-25 00:00:00,3806,484.0
CMA CGM ALEXANDER VON HUMBOLDT - N48/N48,CMA CGM ALEXANDER VON HUMBOLDT,NEU4E,ARRIVED,2020-12-02 19:30:00,2020-12-04 16:44:00,SCT5,Starboard,2020-12-04 04:00:00,"Le Havre, France",N48/N48,2020-11-15 00:00:00,2412,2714.0
CMA CGM ANTOINE DE SAINT EXUPERY - M36/M36,CMA CGM ANTOINE DE SAINT EXUPERY,NEU4I,ARRIVED,2020-09-22 19:30:00,2020-09-22 18:30:00,SCT5,Starboard,2020-09-24 19:30:00,"Dunkerque, France",M36/M36,2020-09-10 00:00:00,1401,-60.0
CMA CGM ANTOINE DE SAINT EXUPERY - N27/N27,CMA CGM ANTOINE DE SAINT EXUPERY,NEU4E,ARRIVED,2020-07-11 07:30:00,2020-07-11 05:00:00,SCT5,Starboard,2020-07-12 23:59:00,"Le Havre, France",N27/N27,2020-07-04 00:00:00,12,-150.0
CMA CGM ANTOINE DE SAINT EXUPERY - N39/N39,CMA CGM ANTOINE DE SAINT EXUPERY,NEU4E,ARRIVED,2020-10-02 19:30:00,2020-10-07 01:45:00,SCT5,Starboard,2020-10-04 07:30:00,"Le Havre, France",N39/N39,2020-09-20 00:00:00,3048,6135.0
CMA CGM ANTOINE DE SAINT EXUPERY - N51/N51,CMA CGM ANTOINE DE SAINT EXUPERY,NEU4E,ARRIVED,2020-12-25 16:00:00,2020-12-27 21:00:00,SCT5,Starboard,2020-12-26 19:30:00,"Le Havre, France",N51/N51,2020-11-15 00:00:00,2369,3180.0
CMA CGM BENJAMIN FRANKLIN - M17/M17,CMA CGM BENJAMIN FRANKLIN,FAL3,ARRIVED,2021-04-28 19:30:00,2021-04-30 15:35:00,SCT2,Starboard,2021-05-01 19:30:00,"Rotterdam, Netherlands",M17/M17,2021-04-15 00:00:00,1798,2645.0
CMA CGM BENJAMIN FRANKLIN - M28/M28,CMA CGM BENJAMIN FRANKLIN,FAL3,ARRIVED,2021-07-18 19:30:00,2021-07-17 08:40:00,SCT2,Starboard,2021-07-21 19:30:00,"Rotterdam, Netherlands",M28/M28,2021-07-05 00:00:00,391,-2090.0
CMA CGM BOUGAINVILLE - M05/M05,CMA CGM BOUGAINVILLE,FAL3,ARRIVED,2021-02-02 19:00:00,2021-02-05 21:36:00,SCT2,Starboard,2021-02-04 19:00:00,"Rotterdam, Netherlands",M05/M05,2021-01-20 00:00:00,2484,4476.0
CMA CGM BOUGAINVILLE - M18/M18,CMA CGM BOUGAINVILLE,FAL3,ARRIVED,2021-05-05 19:30:00,2021-05-06 23:58:00,SCT2,Starboard,2021-05-08 19:30:00,"Rotterdam, Netherlands",M18/M18,2021-04-20 00:00:00,2692,1708.0
CMA CGM BOUGAINVILLE - M29/M29,CMA CGM BOUGAINVILLE,FAL3,ARRIVED,2021-07-24 19:30:00,2021-07-29 13:20:00,SCT2,Starboard,2021-07-27 19:30:00,"Rotterdam, Netherlands",M29/M29,2021-07-10 00:00:00,1238,6830.0
CMA CGM BOUGAINVILLE - M31/M31,CMA CGM BOUGAINVILLE,NEU4I,ARRIVED,2020-08-15 19:00:00,2020-08-15 22:30:00,SCT5,Starboard,2020-08-17 19:00:00,"Dunkerque, France",M31/M31,2020-08-05 00:00:00,475,210.0
CMA CGM BOUGAINVILLE - M43/M43,CMA CGM BOUGAINVILLE,NEU4I,ARRIVED,2020-11-07 19:30:00,2020-11-08 06:30:00,SCT5,Starboard,2020-11-09 19:30:00,"Dunkerque, France",M43/M43,2020-10-25 00:00:00,4059,660.0
CMA CGM BOUGAINVILLE - N34/N34,CMA CGM BOUGAINVILLE,NEU4E,ARRIVED,2020-08-26 07:30:00,2020-08-27 02:08:00,SCT5,Starboard,2020-08-27 12:00:00,"Le Havre, France",N34/N34,2020-08-15 00:00:00,2061,1118.0
CMA CGM BOUGAINVILLE - N46/N46,CMA CGM BOUGAINVILLE,NEU4E,ARRIVED,2020-11-18 16:00:00,2020-11-19 10:45:00,SCT3,Starboard,2020-11-19 19:30:00,"Le Havre, France",N46/N46,2020-11-05 00:00:00,784,1125.0
CMA CGM CENDRILLON - J19/J19,CMA CGM CENDRILLON,EPIC,ARRIVED,2021-06-22 13:00:00,2021-06-22 14:30:00,SCT2,Starboard,2021-06-23 07:30:00,"Bremerhaven, Germany",J19/J19,2021-06-10 00:00:00,1144,90.0
CMA CGM CENDRILLON - J27/J27,CMA CGM CENDRILLON,EPIC,ARRIVED,2021-08-17 13:00:00,2021-08-18 06:54:00,SCT5,Starboard,2021-08-18 07:30:00,"Bremerhaven, Germany",J27/J27,2021-08-05 00:00:00,496,1074.0
