Ship_ID,Vessel_Name,Service,ETA,ATA,Berth,Side,NextPort,Delay,Size,Dwt,GT,Flag,Built_Year,Built_Month,Builder,Owner,Alternative_Fuel,SOx_Scrubber,Eco_Engine,Days_Before_ETA_Info,ETA_Year,ETA_Month,ETA_Day,ETA_Weekday,ETA_Hour,date,new_cases
APL CHONGQING - J10/J10,apl chongqing,EPIC,2021-16,2021-04-24 00:10:00,SCT3,Starboard,Bremerhaven,5050.0,10106,122200,113735,Singapore,2011,12,Hyundai HI (Ulsan),CMA CGM,0,0,1,16.0,2021,4,20,1,12,2021-16,17383.0
APL FULLERTON - M12/M12,apl fullerton,FAL3,2021-12,2021-03-25 02:50:00,SCT2,Starboard,Rotterdam,440.0,17292,177380,166253,Singapore,2014,3,Hyundai Samho HI,CMA CGM,0,1,1,15.0,2021,3,24,2,19,2021-12,36818.0
APL FULLERTON - M24/M24,apl fullerton,FAL3,2021-24,2021-06-18 10:06:00,SCT2,Starboard,Rotterdam,2316.0,17292,177380,166253,Singapore,2014,3,Hyundai Samho HI,CMA CGM,0,1,1,18.0,2021,6,16,2,19,2021-24,64289.0
APL FULLERTON - M34/M34,apl fullerton,FAL3,2021-34,2021-08-28 17:20:00,SCT2,Starboard,Rotterdam,4190.0,17292,177380,166253,Singapore,2014,3,Hyundai Samho HI,CMA CGM,0,1,1,16.0,2021,8,25,2,19,2021-34,239341.0
APL FULLERTON - M50/M50,apl fullerton,NEU3,2020-51,2021-01-08 21:00:00,SCT5,Starboard,Hamburg,18120.0,17292,177380,166253,Singapore,2014,3,Hyundai Samho HI,CMA CGM,0,1,1,42.0,2020,12,27,6,7,2020-51,249068.0
APL LION CITY - M07/M07,apl lion city,FAL3,2021-07,2021-02-19 18:30:00,SCT2,Starboard,Rotterdam,-329.0,17292,177380,166253,Singapore,2013,4,Hyundai Samho HI,CMA CGM,0,1,1,15.0,2021,2,19,4,23,2021-07,77654.0
APL LION CITY - M19/M19,apl lion city,FAL3,2021-19,2021-05-13 03:23:00,SCT2,Starboard,Rotterdam,2364.0,17292,177380,166253,Singapore,2013,4,Hyundai Samho HI,CMA CGM,0,1,1,11.0,2021,5,11,1,11,2021-19,16011.0
APL LION CITY - M30/M30,apl lion city,FAL3,2021-30,2021-08-03 16:55:00,SCT2,Starboard,Rotterdam,8485.0,17292,177380,166253,Singapore,2013,4,Hyundai Samho HI,CMA CGM,0,1,1,14.0,2021,7,28,2,19,2021-30,184195.0
APL MERLION - M03/M03,apl merlion,FAL3,2021-03,2021-02-01 15:57:00,SCT5,Starboard,Rotterdam,12027.0,17292,177300,166253,Singapore,2014,2,Hyundai Samho HI,CMA CGM,0,1,1,14.0,2021,1,24,6,7,2021-03,252117.0
APL MERLION - M16/M16,apl merlion,FAL3,2021-16,2021-04-21 19:30:00,SCT2,Starboard,Rotterdam,-2160.0,17292,177300,166253,Singapore,2014,2,Hyundai Samho HI,CMA CGM,0,1,1,13.0,2021,4,23,4,7,2021-16,17383.0
APL MERLION - M27/M27,apl merlion,FAL3,2021-28,2021-07-14 18:20:00,SCT2,Starboard,Rotterdam,2810.0,17292,177300,166253,Singapore,2014,2,Hyundai Samho HI,CMA CGM,0,1,1,13.0,2021,7,12,0,19,2021-28,316114.0
APL MERLION - M38/M38,apl merlion,FAL3,2021-38,2021-09-28 02:00:00,SCT2,Starboard,Rotterdam,2580.0,17292,177300,166253,Singapore,2014,2,Hyundai Samho HI,CMA CGM,0,1,1,11.0,2021,9,26,6,7,2021-38,235567.0
