Vessel Name,Service,Phase,ETA,Berth,Side to,ETD,Next port of call,Ref,Recording,SN_No.,Ship_ID
APL FULLERTON,FAL3,ARRIVED,2021-08-28 17:20:00,SCT2,Starboard,2021-08-31 07:30:00,"Rotterdam, Netherlands",M34/M34,2021-08-30 00:00:00,4672,APL FULLERTON - M34/M34
APL FULLERTON,NEU3,INBOUND,2020-12-27 07:00:00,SCT5,Starboard,2020-12-29 07:00:00,"Hamburg, Germany",M50/M50,2020-11-15 00:00:00,2367,APL FULLERTON - M50/M50
APL FULLERTON,FAL3,ARRIVED,2021-01-08 21:00:00,SCT2,Starboard,2021-01-11 19:30:00,"Rotterdam, Netherlands",M50/M50,2021-01-10 00:00:00,876,APL FULLERTON - M50/M50
APL LION CITY,FAL3,INBOUND,2021-02-19 23:59:00,SCT2,Starboard,2021-02-22 19:30:00,"Rotterdam, Netherlands",M07/M07,2021-02-05 00:00:00,130,APL LION CITY - M07/M07
APL LION CITY,FAL3,ARRIVED,2021-02-19 18:30:00,SCT3,Starboard,2021-02-22 02:00:00,"Rotterdam, Netherlands",M07/M07,2021-02-20 00:00:00,2535,APL LION CITY - M07/M07
APL LION CITY,FAL3,INBOUND,2021-05-11 11:59:00,SCT2,Starboard,2021-05-14 19:30:00,"Rotterdam, Netherlands",M19/M19,2021-04-30 00:00:00,4287,APL LION CITY - M19/M19
APL LION CITY,FAL3,ARRIVED,2021-05-13 03:23:00,SCT2,Starboard,2021-05-15 19:30:00,"Rotterdam, Netherlands",M19/M19,2021-05-15 00:00:00,1832,APL LION CITY - M19/M19
APL LION CITY,FAL3,INBOUND,2021-07-28 19:30:00,SCT2,Starboard,2021-07-31 19:30:00,"Rotterdam, Netherlands",M30/M30,2021-07-15 00:00:00,2043,APL LION CITY - M30/M30
APL LION CITY,FAL3,ARRIVED,2021-08-03 16:55:00,SCT5,Starboard,2021-08-06 07:30:00,"Rotterdam, Netherlands",M30/M30,2021-08-05 00:00:00,517,APL LION CITY - M30/M30
APL MERLION,FAL3,INBOUND,2021-01-24 07:30:00,SCT5,Starboard,2021-01-26 07:30:00,"Rotterdam, Netherlands",M03/M03,2021-01-10 00:00:00,898,APL MERLION - M03/M03
APL MERLION,FAL3,ARRIVED,2021-02-01 15:57:00,SCT5,Starboard,2021-02-03 12:47:00,"Rotterdam, Netherlands",M03/M03,2021-02-05 00:00:00,144,APL MERLION - M03/M03
APL MERLION,FAL3,INBOUND,2021-04-23 07:30:00,SCT2,Starboard,2021-04-26 07:30:00,"Rotterdam, Netherlands",M16/M16,2021-04-10 00:00:00,1046,APL MERLION - M16/M16
APL MERLION,FAL3,ARRIVED,2021-04-21 19:30:00,SCT3,Starboard,2021-04-25 06:30:00,"Rotterdam, Netherlands",M16/M16,2021-04-25 00:00:00,3518,APL MERLION - M16/M16
APL MERLION,FAL3,INBOUND,2021-07-12 19:30:00,SCT2,Starboard,2021-07-15 19:30:00,"Rotterdam, Netherlands",M27/M27,2021-06-30 00:00:00,4438,APL MERLION - M27/M27
APL MERLION,FAL3,ARRIVED,2021-07-14 18:20:00,SCT2,Starboard,2021-07-17 07:30:00,"Rotterdam, Netherlands",M27/M27,2021-07-15 00:00:00,2029,APL MERLION - M27/M27
APL MERLION,FAL3,INBOUND,2021-09-26 07:00:00,SCT2,Starboard,2021-09-29 07:00:00,"Rotterdam, Netherlands",M38/M38,2021-09-15 00:00:00,2230,APL MERLION - M38/M38
APL MERLION,FAL3,ARRIVED,2021-09-28 02:00:00,SCT2,Starboard,2021-09-30 16:00:00,"Rotterdam, Netherlands",M38/M38,2021-09-30 00:00:00,4754,APL MERLION - M38/M38
APL NEW YORK,EPIC,INBOUND,2021-02-09 19:00:00,SCT3,Starboard,2021-02-10 07:00:00,"Bremerhaven, Germany",J01/J01,2021-01-25 00:00:00,3348,APL NEW YORK - J01/J01
APL NEW YORK,EPIC,ARRIVED,2021-02-22 03:30:00,SCT3,Portside,2021-02-23 04:00:00,"Bremerhaven, Germany",J01/J01,2021-02-25 00:00:00,3407,APL NEW YORK - J01/J01
APL NEW YORK,EPIC,INBOUND,2021-06-02 10:00:00,SCT3,Starboard,2021-06-03 04:00:00,"Bremerhaven, Germany",J16/J16,2021-05-20 00:00:00,2731,APL NEW YORK - J16/J16
APL NEW YORK,EPIC,ARRIVED,2021-06-01 13:20:00,SCT3,Starboard,2021-06-02 13:58:00,"Bremerhaven, Germany",J16/J16,2021-06-05 00:00:00,318,APL NEW YORK - J16/J16
APL NEW YORK,EPIC,INBOUND,2021-07-27 13:00:00,SCT2,Starboard,2021-07-28 07:30:00,"Bremerhaven, Germany",J24/J24,2021-07-15 00:00:00,2023,APL NEW YORK - J24/J24
APL NEW YORK,EPIC,ARRIVED,2021-07-27 12:32:00,SCT3,Starboard,2021-07-28 10:32:00,"Bremerhaven, Germany",J24/J24,2021-07-30 00:00:00,4540,APL NEW YORK - J24/J24
APL NEW YORK,EPIC,INBOUND,2021-09-28 13:00:00,SCT3,Starboard,2021-09-29 07:30:00,"Bremerhaven, Germany",J32/J32,2021-09-15 00:00:00,2242,APL NEW YORK - J32/J32
APL NEW YORK,EPIC,ARRIVED,2021-09-28 19:40:00,SCT3,Starboard,2021-09-30 01:25:00,"Bremerhaven, Germany",J32/J32,2021-09-30 00:00:00,4764,APL NEW YORK - J32/J32
APL NEW YORK,EPIC1,INBOUND,2020-08-24 19:30:00,SCT2,Starboard,2020-08-25 07:30:00,"Rotterdam, Netherlands",R34/S34,2020-08-10 00:00:00,1311,APL NEW YORK - R34/S34
APL NEW YORK,EPIC1,ARRIVED,2020-08-26 18:30:00,SCT3,Starboard,2020-08-27 07:58:00,"Rotterdam, Netherlands",R34/S34,2020-08-30 00:00:00,4585,APL NEW YORK - R34/S34
APL NEW YORK,EPIC1,INBOUND,2020-10-19 19:01:00,SCT3,Starboard,2020-10-20 07:00:00,"Rotterdam, Netherlands",R42/S42,2020-10-05 00:00:00,641,APL NEW YORK - R42/S42
APL NEW YORK,EPIC1,ARRIVED,2020-10-19 20:50:00,SCT2,Starboard,2020-10-20 11:00:00,"Rotterdam, Netherlands",R42/S42,2020-10-20 00:00:00,3162,APL NEW YORK - R42/S42
APL NEW YORK,EPIC1,INBOUND,2020-12-14 19:00:00,SCT3,Starboard,2020-12-15 07:00:00,"Rotterdam, Netherlands",R50/S50,2020-11-15 00:00:00,2364,APL NEW YORK - R50/S50
APL NEW YORK,EPIC1,ARRIVED,2020-12-14 20:50:00,SCT3,Starboard,2020-12-15 19:30:00,"Rotterdam, Netherlands",R50/S50,2020-12-15 00:00:00,2464,APL NEW YORK - R50/S50
APL RAFFLES,NEU4I,INBOUND,2020-07-13 19:00:00,SCT5,Starboard,2020-07-15 19:00:00,"Dunkerque, France",M26/M26,2020-07-04 00:00:00,13,APL RAFFLES - M26/M26
APL RAFFLES,NEU4I,ARRIVED,2020-07-14 07:47:00,SCT5,Starboard,2020-07-16 07:30:00,"Dunkerque, France",M26/M26,2020-07-15 00:00:00,1993,APL RAFFLES - M26/M26
